Pot_ID,Transgenic_Line,Replication,Root_Num_Col,Individual_Weight
0,QQS-3,1.0,Individule Root Weight (g),220.11
1,QQS-5,1.0,Individule Root Weight (g),251.9
2,QQS-7,1.0,Individule Root Weight (g),409.9
3,QQS-10,1.0,Individule Root Weight (g),123.99
4,QQS-10,1.0,Individule Root Weight (g),136.05
5,EV,1.0,Individule Root Weight (g),115.19
6,WT,1.0,Individule Root Weight (g),278.33
9,QQS-3,2.0,Individule Root Weight (g),286.75
10,QQS-5,2.0,Individule Root Weight (g),179.17
11,QQS-7,2.0,Individule Root Weight (g),230.3
12,QQS-10,2.0,Individule Root Weight (g),64.14
13,QQS-10,2.0,Individule Root Weight (g),208.62
15,WT,2.0,Individule Root Weight (g),205.13
18,QQS-3,3.0,Individule Root Weight (g),331.2
19,QQS-5,3.0,Individule Root Weight (g),138.21
20,QQS-7,3.0,Individule Root Weight (g),367.74
21,QQS-10,3.0,Individule Root Weight (g),145.06
23,WT,3.0,Individule Root Weight (g),164.3
0,QQS-3,1.0,Unnamed: 2,36.85
1,QQS-5,1.0,Unnamed: 2,190.61
2,QQS-7,1.0,Unnamed: 2,200.67
3,QQS-10,1.0,Unnamed: 2,60.59
4,QQS-10,1.0,Unnamed: 2,153.16
5,EV,1.0,Unnamed: 2,138.11
6,WT,1.0,Unnamed: 2,242.85
9,QQS-3,2.0,Unnamed: 2,202.63
10,QQS-5,2.0,Unnamed: 2,183.07
11,QQS-7,2.0,Unnamed: 2,244.87
12,QQS-10,2.0,Unnamed: 2,73.43
13,QQS-10,2.0,Unnamed: 2,152.37
15,WT,2.0,Unnamed: 2,217.78
18,QQS-3,3.0,Unnamed: 2,281.57
19,QQS-5,3.0,Unnamed: 2,99.19
20,QQS-7,3.0,Unnamed: 2,85.55
21,QQS-10,3.0,Unnamed: 2,120.4
23,WT,3.0,Unnamed: 2,141.76
0,QQS-3,1.0,Unnamed: 3,33.36
2,QQS-7,1.0,Unnamed: 3,94.16
3,QQS-10,1.0,Unnamed: 3,72.92
4,QQS-10,1.0,Unnamed: 3,61.58
5,EV,1.0,Unnamed: 3,58.22
6,WT,1.0,Unnamed: 3,52.88
9,QQS-3,2.0,Unnamed: 3,156.96
10,QQS-5,2.0,Unnamed: 3,161.86
11,QQS-7,2.0,Unnamed: 3,70.53
12,QQS-10,2.0,Unnamed: 3,88.32
13,QQS-10,2.0,Unnamed: 3,97.42
15,WT,2.0,Unnamed: 3,192.5
18,QQS-3,3.0,Unnamed: 3,78.07
19,QQS-5,3.0,Unnamed: 3,77.16
20,QQS-7,3.0,Unnamed: 3,59.18
21,QQS-10,3.0,Unnamed: 3,149.49
23,WT,3.0,Unnamed: 3,66.52
