line1,line2,pvalue,p_adj,significant
QQS-3,QQS-5,0.8554123532812181,1.0,False
QQS-3,QQS-7,0.8234207600721373,1.0,False
QQS-3,QQS-10,0.0025952991283912687,0.038929486925869033,True
QQS-3,EV,0.2960532827058231,1.0,False
QQS-3,WT,0.6494501780131945,1.0,False
QQS-5,QQS-7,0.7497735225796869,1.0,False
QQS-5,QQS-10,0.05454403923231562,0.8181605884847343,False
QQS-5,EV,0.30400527296205376,1.0,False
QQS-5,WT,0.6310275885592563,1.0,False
QQS-7,QQS-10,0.0379335302463367,0.5690029536950505,False
QQS-7,EV,0.39058189354877465,1.0,False
QQS-7,WT,0.8512518583292126,1.0,False
QQS-10,EV,0.2140580874391458,1.0,False
QQS-10,WT,0.03985782797484965,0.5978674196227448,False
EV,WT,0.4625414658000734,1.0,False
